"","cityName","Occurance_In_Text","trade_power","latitude","longitude"
"1","kanesh",87,34,38.851165,35.635486
"2","hahhum",15,8,38.126,37.776
"3","wahsusana",31,7,35.10341,33.33815
"4","zalpa",7,7,37.704,37.347
"5","durhumit",27,6,40.725,35.178
"6","tuhpiya",10,5,39.787,35.274
"7","ulama",9,4,36.31834,33.869491
"8","mamma",9,4,38.053,36.301
"9","kuburnat",5,3,39.748,35.919
"10","washaniya",4,2,39.189,34.221
"11","hurama",3,2,38.360937,30.230104
"12","hanaknak",2,2,40.6002,33.6162
"13","purushaddum",2,2,40.308,33.379
"14","timelkiya",8,1,36.618181,29.117308
"15","hattus",2,1,40.018499926,34.60916423
"16","sinahuttum",1,1,40.056,34.933
"17","salatuwar",4,0,36.816874,34.687688
